1,6,3/1/2015
2,4,3/1/2015
3,4,3/1/2015
4,1,3/1/2015
5,1,3/1/2015
6,1,3/1/2015
7,4,3/1/2015
8,3,3/1/2015
9,6,3/1/2015
10,1,3/1/2015
11,4,3/1/2015
12,4,3/1/2015
13,4,3/1/2015
14,4,3/1/2015
15,1,3/1/2015
16,6,3/1/2015
17,4,3/1/2015
18,6,3/1/2015
19,4,3/1/2015
20,4,3/1/2015
21,1,3/1/2015
22,9,3/1/2015
23,1,3/1/2015
24,1,3/1/2015
25,6,3/1/2015
26,1,3/1/2015
27,6,3/1/2015
28,4,3/1/2015
29,4,3/1/2015
30,4,3/1/2015
31,6,3/1/2015
32,1,3/1/2015
33,1,3/1/2015
34,1,3/1/2015
35,9,3/1/2015
36,4,3/1/2015
37,4,3/1/2015
38,4,3/1/2015
39,4,3/1/2015
40,6,3/1/2015
41,1,3/1/2015
42,6,3/1/2015
43,1,3/1/2015
44,6,3/1/2015
45,4,3/1/2015
46,1,3/1/2015
47,1,3/1/2015
48,6,3/1/2015
49,4,3/1/2015
50,1,3/1/2015
51,4,3/1/2015
52,4,3/1/2015
53,6,3/1/2015
54,4,3/1/2015
55,4,3/1/2015
56,4,3/1/2015
57,4,3/1/2015
58,1,3/1/2015
59,1,3/1/2015
60,4,3/1/2015
61,1,3/1/2015
62,1,3/1/2015
63,1,3/1/2015
64,1,3/1/2015
65,4,3/1/2015
66,3,3/1/2015
67,1,3/1/2015
68,6,3/1/2015
69,1,3/1/2015
70,4,3/1/2015
